Word,V.Mean.Sum,V.Rat.Sum,A.Mean.Sum,A.Rat.Sum,D.Mean.Sum,D.Rat.Sum
aardvark,6.26,19,2.41,22,4.27,15
abalone,5.3,20,2.65,20,4.95,22
abandon,2.84,19,3.73,22,3.32,22
abandonment,2.63,19,4.95,21,2.64,28
abbey,5.85,20,2.2,20,5,25
abdomen,5.43,21,3.68,22,5.15,27
abdominal,4.48,23,3.5,22,5.32,19
abduct,2.42,19,5.9,20,2.75,24
abduction,2.05,19,5.33,21,3.02,48
abide,5.52,21,3.26,23,5.33,18
abiding,5.57,23,3.59,22,6.6,20
ability,7,20,4.85,20,6.55,22
abject,4,19,3.94,17,4.35,17
ablaze,5.15,20,6.75,20,4.58,36
able,6.64,22,3.38,21,6.17,18
abnormal,3.53,19,4.48,21,4.7,23
abnormality,3.05,19,5,22,3.96,23
abode,5.28,18,2.9,21,5.05,20
abolish,3.84,19,4.18,17,4.65,17
abominable,4.05,20,5.45,22,4.62,21
abomination,2.5,18,5.9,20,3.8,25
abort,3.1,20,5.8,20,3.38,26
abortion,2.58,19,5.43,47,4.73,44
abracadabra,5.11,18,5.27,22,4.96,24
abrasive,4.26,19,6.1,21,4.94,34
abreast,4.62,21,4.61,23,5.19,21
abrupt,3.28,18,5.23,22,3.75,24
abscess,2.79,19,4,20,3.95,20
absence,3.86,21,4.3,20,4.24,21
absent,4.1,21,3.72,25,4.21,19
absinthe,3.53,19,3.7,20,3.95,20
absolute,5.43,21,3.48,23,5.58,26
absolution,6.58,19,3.38,21,5.75,24
absolve,4.58,19,3.53,17,4.82,17
absorb,5.5,22,4.27,22,5.62,24
abstain,4.4,20,3.1,21,6.08,25
abstinence,3.43,21,3.15,20,5.64,22
abstract,5.25,20,3.96,24,5.53,19
absurd,4.45,40,4.02,43,5.06,18
absurdity,4.06,18,4.7,23,5.37,19
abundance,6.67,18,4.72,18,5.66,62
abundant,7.55,20,4.21,19,5.81,26
abuse,1.53,19,6.21,42,2.9,20
abusive,2.05,20,5.27,22,3.58,19
abysmal,3.45,20,3.91,23,3.76,21
abyss,3.9,21,4.85,20,4,21
academic,6.61,18,3.32,22,6.21,28
academy,5.32,19,3.77,22,5.38,24
accelerant,4.59,22,4.81,26,6.04,24
accelerate,6.1,21,6.04,23,6.15,26
accelerated,6.21,19,4.75,24,6.29,28
