Song,Emotion,Valence,Arousal
happily ever after,pensive,5.78970098045302,3.8555737704918034
only the lonely,melancholy,5.6414049435139315,3.7848770491803276
say you love me,impressed,6.457033146678917,4.619098360655737
empty garden hey hey johnny,sleepy,5.752626971218248,3.29
follow you down,pensive,5.78970098045302,3.8555737704918034
fall for you,pensive,5.78970098045302,3.8555737704918034
calling all angels,pensive,5.78970098045302,3.8555737704918034
breakout,pensive,5.78970098045302,3.8555737704918034
i wanna be bad,melancholy,5.6414049435139315,3.7848770491803276
where do broken hearts go,pensive,5.78970098045302,3.8555737704918034
mirage,pensive,5.78970098045302,3.8555737704918034
day n nite,worried,5.60433093427916,4.251475409836066
stayin alive,impressed,6.457033146678917,4.619098360655737
miss me blind,melancholy,5.6414049435139315,3.7848770491803276
no lie,apathetic,5.363349874253141,4.534262295081967
the beach boys medley,impressed,6.457033146678917,4.619098360655737
disco nights rockfreak,impressed,6.457033146678917,4.619098360655737
right round,pensive,5.78970098045302,3.8555737704918034
harden my heart,pensive,5.78970098045302,3.8555737704918034
the jump off,worried,5.60433093427916,4.251475409836066
patches,pensive,5.78970098045302,3.8555737704918034
puppy love,impressed,6.457033146678917,4.619098360655737
dazz,amused,6.753625220557094,4.972581967213115
slow hand,worried,5.60433093427916,4.251475409836066
yes we can can,sleepy,5.752626971218248,3.29
iesha,pensive,5.78970098045302,3.8555737704918034
hollywood nights,pensive,5.78970098045302,3.8555737704918034
where the party at,pensive,5.78970098045302,3.8555737704918034
three little pigs,pensive,5.78970098045302,3.8555737704918034
thats the way love goes,impressed,6.457033146678917,4.619098360655737
thank the lord for the night time,pensive,5.78970098045302,3.8555737704918034
baby dont forget my number,pensive,5.78970098045302,3.8555737704918034
forgot about dre,worried,5.60433093427916,4.251475409836066
here you come again,impressed,6.457033146678917,4.619098360655737
youre my soul and inspiration,impressed,6.457033146678917,4.619098360655737
green light,impressed,6.457033146678917,4.619098360655737
king of anything,worried,5.60433093427916,4.251475409836066
naked eye,pensive,5.78970098045302,3.8555737704918034
never had a dream come true,pensive,5.78970098045302,3.8555737704918034
red dirt road,worried,5.60433093427916,4.251475409836066
i wish,pensive,5.78970098045302,3.8555737704918034
one of us,pensive,5.78970098045302,3.8555737704918034
thinkin back,contemplative,6.809236234409252,3.8555737704918034
rise,pensive,5.78970098045302,3.8555737704918034
misunderstanding,melancholy,5.6414049435139315,3.7848770491803276
one woman,contemplative,6.809236234409252,3.8555737704918034
one wish,peaceful,6.753625220557094,3.5727868852459017
just like starting over,impressed,6.457033146678917,4.619098360655737
feels so right,impressed,6.457033146678917,4.619098360655737
this used to be my playground,pensive,5.78970098045302,3.8555737704918034
one of a kind love affair,impressed,6.457033146678917,4.619098360655737
nite and day,contemplative,6.809236234409252,3.8555737704918034
break it down again,worried,5.60433093427916,4.251475409836066
too shy,melancholy,5.6414049435139315,3.7848770491803276
you should hear how she talks about you,pensive,5.78970098045302,3.8555737704918034
friend of mine,pensive,5.78970098045302,3.8555737704918034
thnks fr th mmrs,peaceful,6.753625220557094,3.5727868852459017
starships,pensive,5.78970098045302,3.8555737704918034
out of the blue,contemplative,6.809236234409252,3.8555737704918034
brown eyed girl,pensive,5.78970098045302,3.8555737704918034
im so excited,impressed,6.457033146678917,4.619098360655737
i hate myself for loving you,apathetic,5.363349874253141,4.534262295081967
the fox what does the fox say,pensive,5.78970098045302,3.8555737704918034
beautiful day,pensive,5.78970098045302,3.8555737704918034
my dingaling,pensive,5.78970098045302,3.8555737704918034
frozen,worried,5.60433093427916,4.251475409836066
feel so close,impressed,6.457033146678917,4.619098360655737
venus,impressed,6.457033146678917,4.619098360655737
dont you worry child,apathetic,5.363349874253141,4.534262295081967
shouldve known better,apathetic,5.363349874253141,4.534262295081967
baby its you,pensive,5.78970098045302,3.8555737704918034
little red corvette,worried,5.60433093427916,4.251475409836066
danger been so long,worried,5.60433093427916,4.251475409836066
sweet city woman,contemplative,6.809236234409252,3.8555737704918034
im not in love,worried,5.60433093427916,4.251475409836066
dark lady,pensive,5.78970098045302,3.8555737704918034
our love,hopeful,6.86484724826141,4.279754098360655
this girls in love with you,contemplative,6.809236234409252,3.8555737704918034
money power  respect,impressed,6.457033146678917,4.619098360655737
coward of the county,worried,5.60433093427916,4.251475409836066
you and tequila,worried,5.60433093427916,4.251475409836066
oh sheila,impressed,6.457033146678917,4.619098360655737
a little bit me a little bit you,worried,5.60433093427916,4.251475409836066
for your eyes only,peaceful,6.753625220557094,3.5727868852459017
short people,melancholy,5.6414049435139315,3.7848770491803276
all those years ago,pensive,5.78970098045302,3.8555737704918034
baby im for real,impressed,6.457033146678917,4.619098360655737
beer for my horses,worried,5.60433093427916,4.251475409836066
whip appeal,worried,5.60433093427916,4.251475409836066
i dont want to miss a thing,melancholy,5.6414049435139315,3.7848770491803276
my eyes adored you,pensive,5.78970098045302,3.8555737704918034
poison,worried,5.60433093427916,4.251475409836066
angel eyes,pensive,5.78970098045302,3.8555737704918034
goodnight tonight,worried,5.60433093427916,4.251475409836066
no diggity,pensive,5.78970098045302,3.8555737704918034
do you wanna make love,worried,5.60433093427916,4.251475409836066
cats in the cradle,contemplative,6.809236234409252,3.8555737704918034
heart and soul,impressed,6.457033146678917,4.619098360655737
the remedy i wont worry,apathetic,5.363349874253141,4.534262295081967
the valley road,tired,5.715552961983476,3.29
the way we weretry to remember,pensive,5.78970098045302,3.8555737704918034
a hazy shade of winter,melancholy,5.6414049435139315,3.7848770491803276
goldfinger,impressed,6.457033146678917,4.619098360655737
i know,peaceful,6.753625220557094,3.5727868852459017
cant we try,pensive,5.78970098045302,3.8555737704918034
kiss kiss,pensive,5.78970098045302,3.8555737704918034
hero,impressed,6.457033146678917,4.619098360655737
easy come easy go,contemplative,6.809236234409252,3.8555737704918034
pontoon,pensive,5.78970098045302,3.8555737704918034
never my love,impressed,6.457033146678917,4.619098360655737
here,pensive,5.78970098045302,3.8555737704918034
in my head,pensive,5.78970098045302,3.8555737704918034
snowbird,pensive,5.78970098045302,3.8555737704918034
union of the snake,apathetic,5.363349874253141,4.534262295081967
studio,worried,5.60433093427916,4.251475409836066
trapped by a thing called love,worried,5.60433093427916,4.251475409836066
