Word,Emotion,Counts
exclusive,frustrated,1
love,happy,6
forget,disappointed,4
summer,excited,1
mind,amused,4
back,anxious,1
born,content,1
see,pensive,3
video,amused,1
have,sleepy,1
girl,determined,1
hate,distressed,2
find,peaceful,4
blue,peaceful,2
guess,embarassed,1
uninvited,sad,2
hide,bored,1
would,pensive,2
memories,hopeful,1
give,good,1
two,peaceful,3
fight,distressed,2
haze,embarassed,1
editor,worried,1
interview,angry,1
surprise,excited,1
friend,hopeful,1
be,sleepy,2
stay,sleepy,2
track,pensive,1
time,tired,2
bound,distressed,1
meaning,contemplative,1
know,peaceful,1
hold,impressed,1
remember,peaceful,4
like,pleased,5
glory,excited,1
shy,bored,1
beg,disappointed,4
face,impressed,2
bittersweet,embarassed,1
turn,tired,2
wish,calm,4
